model,precision,agent,correct,total,accuracy,coverage,wrong_to_right,right_to_wrong,net_vs_direct,shared_with_direct,missing_indices,status
Qwen3.5-0.8B,BF16/FP16,Direct,9,200,0.045,200/200,,,,,0,Complete
Qwen3.5-0.8B,BF16/FP16,Feedback,14,200,0.07,200/200,11,6,5,200,0,Complete
Qwen3.5-0.8B,BF16/FP16,Tool,15,200,0.075,200/200,7,1,6,200,0,Complete
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,17,200,0.085,200/200,8,0,8,200,0,Complete
Qwen2.5-7B-Instruct,BF16/FP16,Direct,16,200,0.08,200/200,,,,,0,Complete
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,9,200,0.045,200/200,2,9,-7,200,0,Complete
Qwen2.5-7B-Instruct,BF16/FP16,Tool,23,200,0.115,200/200,7,0,7,200,0,Complete
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,26,200,0.13,200/200,10,0,10,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Direct,11,200,0.055,200/200,,,,,0,Complete
Qwen3.5-27B,NF4 4-bit,Feedback,6,200,0.03,200/200,4,9,-5,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Tool,17,200,0.085,200/200,6,0,6,200,0,Complete
Qwen3.5-27B,NF4 4-bit,Oracle Feedback,11,105,0.10476190476190476,105/200,3,0,3,105,95,Partial
